tradeDate,preClosePrice,highestPrice,lowestPrice
"2019-01-02",8.34,8.31,7.95
"2019-01-03",8.05,8.11,7.88
"2019-01-04",7.93,8.07,7.77
"2019-01-07",8.07,8.17,8.03
"2019-01-08",8.14,8.16,8.06
"2019-01-09",8.1,8.25,8.07
"2019-01-10",8.11,8.11,8.02
"2019-01-11",8.04,8.2,8.06
"2019-01-14",8.19,8.38,8.15
"2019-01-15",8.38,8.55,8.28
"2019-01-16",8.43,8.52,8.38
"2019-01-17",8.47,8.6,8.45
"2019-01-18",8.53,8.69,8.51
"2019-01-21",8.64,8.73,8.58
"2019-01-22",8.61,8.67,8.52
"2019-01-23",8.54,8.72,8.6
"2019-01-24",8.71,8.91,8.71
"2019-01-25",8.86,9.08,8.86
"2019-01-28",9.07,9.17,9.02
"2019-01-29",9.08,9.15,8.88
"2019-01-30",9.14,9.29,9.1
"2019-01-31",9.12,9.34,9.02
"2019-02-01",9.12,9.48,9.2
"2019-02-11",9.48,9.61,9.41
"2019-02-12",9.48,9.78,9.45
"2019-02-13",9.7,9.82,9.61
"2019-02-14",9.76,9.82,9.68
"2019-02-15",9.75,9.75,9.44
"2019-02-18",9.46,9.94,9.52
"2019-02-19",9.91,9.92,9.57
"2019-02-20",9.61,9.88,9.6
"2019-02-21",9.69,9.9,9.51
"2019-02-22",9.75,10.45,9.62
"2019-02-25",10.36,11.16,10.45
"2019-02-26",10.92,11.1,10.75
"2019-02-27",10.8,10.88,10.36
"2019-02-28",10.4,10.56,10.33
"2019-03-01",10.39,10.75,10.36
"2019-03-04",10.72,11.79,10.93
"2019-03-05",11.54,11.72,11.28
"2019-03-06",11.48,11.63,11.3
"2019-03-07",11.57,11.51,11.06
"2019-03-08",11.22,11.55,10.78
"2019-03-11",11.08,11.26,10.84
"2019-03-12",11.18,11.83,11.27
"2019-03-13",11.76,11.91,11.44
"2019-03-14",11.51,11.95,11.35
"2019-03-15",11.66,12.55,11.7
"2019-03-18",12.38,13.1,12.4
"2019-03-19",12.99,13.09,12.71
"2019-03-20",12.8,13.47,12.66
"2019-03-21",13.1,13.49,12.91
"2019-03-22",13.12,13.39,12.68
"2019-03-25",12.87,12.73,12.26
"2019-03-26",12.31,12.46,11.88
"2019-03-27",12.09,12.4,11.97
"2019-03-28",12.3,12.26,12.01
"2019-03-29",12.06,12.83,12
"2019-04-01",12.78,13.28,12.8
"2019-04-02",12.95,13.14,12.52
"2019-04-03",12.63,12.97,12.56
"2019-04-04",12.92,13.64,12.97
"2019-04-08",13.36,13.88,13.37
"2019-04-09",13.8,13.75,13.38
"2019-04-10",13.56,14.06,13.2
"2019-04-11",14,13.95,13.16
"2019-04-12",13.18,13.31,12.8
"2019-04-15",12.98,13.8,12.79
"2019-04-16",12.87,13.24,12.72
"2019-04-17",13.22,13.27,12.98
"2019-04-18",13.11,13.4,12.98
"2019-04-19",13.16,13.22,12.81
"2019-04-22",13.13,13.15,12.12
"2019-04-23",12.19,12.45,12.18
"2019-04-24",12.29,12.43,12.02
"2019-04-25",12.33,12.34,11.85
"2019-04-26",11.88,12.06,11.84
"2019-04-29",11.92,12.48,12.03
"2019-04-30",12.3,12.53,12.07
"2019-05-06",12.25,11.87,11.17
"2019-05-07",11.4,12.13,11.66
"2019-05-08",12.12,12.21,11.78
"2019-05-09",11.85,12.02,11.61
"2019-05-10",11.86,12.45,11.72
"2019-05-13",12.45,12.36,12.09
"2019-05-14",12.21,12.2,11.87
"2019-05-15",11.96,12.24,11.89
"2019-05-16",12.14,12.19,12.04
"2019-05-17",12.15,12.15,11.65
"2019-05-20",11.7,11.7,11.43
"2019-05-21",11.59,12.01,11.58
"2019-05-22",11.89,12.06,11.87
"2019-05-23",11.95,12.08,11.82
"2019-05-24",11.9,12.09,11.87
"2019-05-27",12.03,12.37,11.97
"2019-05-28",12.31,12.84,12.31
"2019-05-29",12.65,12.7,12.46
"2019-05-30",12.58,12.56,12.16
"2019-05-31",12.35,12.27,11.9
"2019-06-03",12.07,12.18,11.9
"2019-06-04",11.96,12.03,11.65
"2019-06-05",11.97,12.23,12.04
"2019-06-06",12.09,12.19,11.95
"2019-06-10",11.95,12.33,11.98
"2019-06-11",12.21,12.93,12.37
"2019-06-12",12.92,13.18,12.81
"2019-06-13",12.9,13.08,12.76
"2019-06-14",12.95,13.05,12.74
"2019-06-17",12.79,12.95,12.61
"2019-06-18",12.75,12.95,12.72
"2019-06-19",12.88,13.29,12.85
"2019-06-20",12.9,13.26,12.82
"2019-06-21",13.18,13.24,13
"2019-06-24",13.13,13.24,13.01
