tradeDate,preClosePrice,highestPrice,lowestPrice
"2014-01-02",24.1,24.76,23.66
"2014-01-03",24.67,24.85,24.21
"2014-01-06",24.56,24.55,22.67
"2014-01-07",22.73,23.56,22.73
"2014-01-08",23.35,23.7,23
"2014-01-09",23.58,23.65,22.54
"2014-01-10",22.55,22.66,22.06
"2014-01-13",22.09,22.5,21.8
"2014-01-14",22.08,22.45,21.5
"2014-01-15",22.45,22.78,22.2
"2014-01-16",22.67,23.46,22.48
"2014-01-17",23.26,23.04,22.3
"2014-01-20",22.31,22.43,21.51
"2014-01-21",21.59,22.13,21.54
"2014-01-22",21.99,22.75,21.97
"2014-01-23",22.68,22.93,22.55
"2014-01-24",22.72,23.46,22.71
"2014-01-27",23.17,23.27,22.6
"2014-01-28",22.88,22.87,21.83
"2014-01-29",22.01,22.53,21.82
"2014-01-30",22.5,22.5,22.04
"2014-02-07",22.19,22.3,21.49
"2014-02-10",22.29,23.58,22.18
"2014-02-11",23.58,23.57,23.08
"2014-02-12",23.37,24.13,23.1
"2014-02-13",24.11,24.88,23.6
"2014-02-14",23.66,24.08,23.51
"2014-02-17",24.08,24.69,24.02
"2014-02-18",24.65,24.7,23.83
"2014-02-19",24.18,24.3,23.7
"2014-02-20",24.2,24.19,23.18
"2014-02-21",23.2,23.57,22.98
"2014-02-24",23.2,23.72,23.06
"2014-02-25",23.72,23.8,21.75
"2014-02-26",22,22.27,21.5
"2014-02-27",22.15,22.59,21.6
"2014-02-28",21.73,21.61,20.34
"2014-03-03",21.2,22.09,20.92
"2014-03-04",22.08,22.39,21.69
"2014-03-05",22.1,22.38,21.55
"2014-03-06",21.7,21.7,21.1
"2014-03-07",21.46,22.45,21.44
"2014-03-10",22.19,22,21.1
"2014-03-11",21.12,21.25,20.8
"2014-03-12",21.02,21.67,20.8
"2014-03-13",21.5,21.6,21.27
"2014-03-14",21.54,21.5,21.13
"2014-03-17",21.21,21.84,21.1
"2014-03-18",21.78,22.4,21.64
"2014-03-19",21.98,22.84,21.48
"2014-03-20",22.65,22.59,21.69
"2014-03-21",21.7,22.37,21.53
"2014-03-24",22.24,22.52,22.03
"2014-03-25",22.31,22.61,22.29
"2014-03-26",22.5,22.68,22.15
"2014-03-27",22.28,22.3,20.88
"2014-03-28",20.9,21,20.41
"2014-03-31",20.46,20.7,20.4
"2014-04-01",20.5,20.75,20.4
"2014-04-02",20.7,20.84,20.31
"2014-04-03",20.42,20.99,20.5
"2014-04-04",20.93,21.28,20.74
"2014-04-08",21,21.14,20.65
"2014-04-09",20.98,21.3,20.98
"2014-04-10",21.26,21.42,21.11
"2014-04-11",21.22,21.2,20.71
"2014-04-14",20.89,21.34,20.78
"2014-04-15",21.31,21.47,21.05
"2014-04-16",21.36,21.35,21.04
"2014-04-17",21.16,21.77,21.16
"2014-04-18",21.51,20.95,20.35
"2014-04-21",20.59,20.77,20.35
"2014-04-22",20.49,20.6,19.49
"2014-04-23",19.89,19.98,19.68
"2014-04-24",19.91,19.98,19.66
"2014-04-25",19.9,20.13,19.16
"2014-04-28",19.23,19.27,18.3
"2014-04-29",18.35,18.71,18.36
"2014-04-30",18.65,19.12,18.54
"2014-05-05",19.03,18.99,18.62
"2014-05-06",18.88,19.34,18.83
"2014-05-07",19.18,20.8,18.9
"2014-05-08",20.43,20.79,19.76
"2014-05-09",20.5,21.5,20.2
"2014-05-12",21.1,21.1,20.32
"2014-05-13",20.78,20.89,20.23
"2014-05-14",20.33,20.6,20.05
"2014-05-15",20.21,20.36,19.41
"2014-05-16",19.41,19.56,19
"2014-05-19",19.21,19.45,19.01
"2014-05-20",19.44,19.74,19.36
"2014-05-21",19.57,19.66,19.22
"2014-05-22",19.55,19.77,19.11
"2014-05-23",19.68,19.74,19.33
"2014-05-26",19.54,20.08,19.5
"2014-05-27",20.08,20.24,19.76
